file	unsplash_id	description
junotile-diverse-20260621-porcelain-01-texture-absorption.jpg	UuBR5kbvt4Y	grey concrete/stone tile texture
junotile-diverse-20260621-porcelain-02-large-modern-bath.jpg	yg8zkwBS30Q	bright modern bathroom wide view
junotile-diverse-20260621-porcelain-03-showroom-sample-board.jpg	L7V4rwETDb0	tile sample display board close-up
junotile-diverse-20260621-porcelain-04-vanity-material-match.jpg	kSoe7EoxHIE	vanity and bathroom material coordination
junotile-diverse-20260621-floor-01-slip-texture.jpg	cB18uhhf43s	soft checker tile surface texture
junotile-diverse-20260621-floor-02-cleaning-pattern.jpg	osuiatBDTww	dark stone texture for stain visibility
junotile-diverse-20260621-floor-03-wall-floor-combo.jpg	L4iRkKL5dng	wall and floor tile bathroom combination
junotile-diverse-20260621-floor-04-family-bath-wide.jpg	g51F6-WYzyU	family bathroom wide shower and vanity
junotile-diverse-20260621-checklist-01-floor-samples.jpg	ST-QAmN8BIk	material and tile samples flatlay
junotile-diverse-20260621-checklist-02-wall-tile-showroom.jpg	Dk_o7KQyGkI	large wall tile bathroom showroom mood
junotile-diverse-20260621-checklist-03-fixtures-vanity.jpg	FPim6ZLM6fc	sink faucet vanity and mirror fixtures
junotile-diverse-20260621-checklist-04-budget-materials.jpg	D6mlvnGbAVg	interior material choice meeting table
junotile-diverse-20260621-materials-01-lighting-color.jpg	PibraWHb4h8	warm bathroom lighting and tile mood
junotile-diverse-20260621-materials-02-faucet-closeup.jpg	4kCCcfGdgiU	faucet close-up detail
junotile-diverse-20260621-materials-03-shower-toilet-layout.jpg	48mTwDzizqE	compact bathroom shower and toilet layout
junotile-diverse-20260621-materials-04-total-palette.jpg	epznqEMFdcA	material palette color board
